rows=2000000
region=AR count=99643 qty=1047077 revenue=26203052200
top_user rank=55 user_id=41075 revenue=11095757
top_user rank=56 user_id=50489 revenue=11077777
top_user rank=57 user_id=90916 revenue=11058064
top_user rank=58 user_id=72716 revenue=11047194
top_user rank=59 user_id=42882 revenue=11037559
top_user rank=60 user_id=2185 revenue=11019421
top_user rank=61 user_id=98642 revenue=11016840
top_user rank=62 user_id=50741 revenue=11003057
top_user rank=63 user_id=10409 revenue=11002356
top_user rank=64 user_id=19157 revenue=10999401
top_user rank=65 user_id=9971 revenue=10975001
top_user rank=66 user_id=10607 revenue=10970994
top_user rank=67 user_id=30318 revenue=10968565
top_user rank=68 user_id=41528 revenue=10953988
top_user rank=69 user_id=43044 revenue=10951797
top_user rank=70 user_id=34963 revenue=10947096
top_user rank=71 user_id=22897 revenue=10940408
top_user rank=72 user_id=28386 revenue=10937525
top_user rank=73 user_id=93064 revenue=10928361
top_user rank=74 user_id=67734 revenue=10927825
top_user rank=75 user_id=27097 revenue=10921147
top_user rank=76 user_id=83725 revenue=10921130
top_user rank=77 user_id=15250 revenue=10920782
top_user rank=78 user_id=88661 revenue=10919796
top_user rank=79 user_id=34874 revenue=10916895
top_user rank=80 user_id=43974 revenue=10905940
top_user rank=81 user_id=99737 revenue=10898261
top_user rank=82 user_id=34968 revenue=10896910
top_user rank=83 user_id=48109 revenue=10895201
top_user rank=84 user_id=72129 revenue=10893741
top_user rank=85 user_id=25850 revenue=10887891
top_user rank=86 user_id=73034 revenue=10878931
top_user rank=87 user_id=63995 revenue=10865628
top_user rank=88 user_id=13949 revenue=10864893
top_user rank=89 user_id=52493 revenue=10857065
top_user rank=90 user_id=86329 revenue=10856664
top_user rank=91 user_id=39479 revenue=10852574
top_user rank=92 user_id=18714 revenue=10849212
top_user rank=93 user_id=30308 revenue=10841408
top_user rank=94 user_id=75850 revenue=10829161
top_user rank=95 user_id=33923 revenue=10807068
top_user rank=96 user_id=85804 revenue=10801342
top_user rank=97 user_id=50335 revenue=10795689
top_user rank=98 user_id=32516 revenue=10793380
top_user rank=99 user_id=75794 revenue=10790985
top_user rank=100 user_id=18573 revenue=10779121
top_sku rank=1 sku=SKU-32952 revenue=13525356
top_sku rank=2 sku=SKU-96151 revenue=13053004
top_sku rank=3 sku=SKU-98857 revenue=12850485
top_sku rank=4 sku=SKU-34903 revenue=12824948
top_sku rank=5 sku=SKU-06983 revenue=12810075
top_sku rank=6 sku=SKU-84323 revenue=12470126
top_sku rank=7 sku=SKU-69994 revenue=12263812
top_sku rank=8 sku=SKU-85589 revenue=12187731
top_sku rank=9 sku=SKU-55279 revenue=12180458
top_sku rank=10 sku=SKU-05142 revenue=12114414
